Book_Title	ISBN_10	ISBN_13	Genre_ID	Publisher_ID	Author_ID	
Quieting Your Heart	995056706	978-995056706	6	1	133	
Doctor Who Coloring Book	399542299	978-399542299	33	2	100	
World of Warcraft: Chronicle Volume 1	1616558458	978-1616558458	7	3	130	
Tom Clancy's The Division: New York Collapse	1452148279	978-1452148279	34	4	341	
The Art of Zootopia	1452122237	978-1452122237	33	4	256	
Swear Word Adult Coloring Book	1523946237	978-1523946237	33	5	73	
Hamilton: The Revolution	1455539740	978-1455539740	18	6	162	
Swear and Relax #1	1530049121	978-1530049121	33	5	118	
The Bob's Burgers Burger Book	789331144	978-789331144	9	7	339	
Trouble Boys: The True Story of the Replacements	306818795	978-306818795	33	8	322	
Creative Haven Entangled Dragonflies Coloring Book	486805689	978-486805689	33	89	13	
The Art of Charlie Chan Hock Chye	1101870699	978-1101870699	34	9	323	
Creative Haven Dazzling Dogs Coloring Book	486803821	978-486803821	33	89	342	
Patina Farm	1423640462	978-1423640462	10	33	368	
The Immortal Irishman: The Irish Revolutionary Who Became an American Hero	544272889	978-544272889	15	11	45	
"Love, Loss, and What We Ate: A Memoir"	62202618	978-62202618	9	12	211	
From Silk to Silicon: The Story of Globalization Through Ten Extraordinary Lives	62409972	978-62409972	15	13	46	
The King and Queen of Malibu: The True Story of the Battle for Paradise	393240991	978-393240991	26	14	48	
Lust & Wonder: A Memoir	312342039	978-312342039	13	15	135	
Dimestore: A Writer's Life	1616205024	978-1616205024	18	16	316	
I Swear I'll Make It Up to You: A Life on the Low Road	1610395581	978-1610395581	14	17	28	
John Quincy Adams: Militant Spirit	465028276	978-465028276	15	18	129	
Rightful Heritage: Franklin D. Roosevelt and the Land of America	62089234	978-62089234	13	15	307	
"All the Ways We Kill and Die: An Elegy for a Fallen Comrade, and the Hunt for His Killer"	1628726547	978-1628726547	35	19	152	
Yes Please	6226835	978-6226835	16	20	87	
World Order	143127713	978-143127713	22	21	118	
Fear and Loathing in Las Vegas: A Savage Journey to the Heart of the American Dream	679785892	978-679785892	18	22	103	
Between the World and Me	812993543	978-812993543	15	23	94	
The Big Bad Book of Bill Murray: A Critical Appreciation of the World's Finest Actor	1594748012	978-1594748012	33	24	98	
"The Other Wes Moore: One Name, Two Fates"	385528205	978-385528205	22	23	334	
"Elon Musk: Tesla, SpaceX, and the Quest for a Fantastic Future"	62301233	978-62301233	12	12	316	
Team of Teams: New Rules of Engagement for a Complex World	1591847486	978-1591847486	3	25	35	
Work Rules!: Insights from Inside Google That Will Transform How You Live and Lead	1455554790	978-1455554790	8	171	17	
Misbehaving: The Making of Behavioral Economics	393080943	978-393080943	26	14	130	
Triggers: Creating Behavior That LastsBecoming the Person You Want to Be	804141231	978-804141231	3	27	230	
Our Kids: The American Dream in Crisis	1476769893	978-1476769893	22	28	47	
Creative Schools: The Grassroots Revolution That’s Transforming Education	670016713	978-670016713	11	29	288	
"Bold: How to Go Big, Create Wealth and Impact the World"	1476709564	978-1476709564	3	28	72	
"Do Over: Rescue Monday, Reinvent Your Work, and Never Get Stuck"	1591847613	978-1591847613	36	25	300	
A Curious Mind: The Secret to a Bigger Life	147673075	978-147673075	28	28	6	
"The Opposite of Spoiled: Raising Kids Who Are Grounded, Generous, and Smart About Money"	62247018	978-62247018	11	13	171	
"Future Crimes: Everything Is Connected, Everyone Is Vulnerable and What We Can Do About It"	385539002	978-385539002	26	31	90	
