Item_Name	Manufacturer_ID	Category_ID	ASIN
Glass Meal Prep Food Storage Containers – 2 Compartment	1	13	B0000YDY7W
"""18 Piece Simply Store Food Storage Set, Clear"""	1	7	B0157G34AY
Stainless Steel Cups for kids and toddlers set of five 8oz	1	8	B00005B8K5
CI670-30BLW Chef's Classic Enameled Cast Iron 7-Quart Round Covered Casserole	1	10	B01L93CUMW
"""Stoneware 15-Ounce Honey Pot, Dijon"""	1	4	B002JKMSZY
Vintage Corning Vision - Amber 1 QT Casserole With Lid - Like New - Never Used	1	15	B00IVB0U6E
"""Made In France HR Modern Classics Small Rectangular Baker, 11 x 8, White"""	1	7	B00WRIIZUU
"""KRUPS GX5000 Professional Electric Coffee Burr Grinder with Grind Size and Cup Selection, 7-Ounce, Black"""	2	8	B0161Q2RUM
"""BV1900TS 8-Cup Carafe Coffee Brewer, Stainless Steel"""	2	15	B00O9FO1HK
"""Nonstick Bakeware Set, 6-Pieces"""	1	14	B001BSX1EM
5-Piece Nylon Kitchen Cooking Utensil Set	1	13	B00JTUG9ZC
Simply Calphalon Nonstick 10 Piece Cookware Set	3	13	B001AS94TY
Nuwave Duralon™ Ceramic Non-stick Cookware 10-piece Set with Lids	3	13	B00H6BA0PG
NuWave 11 Piece Cookware Set	3	10	B01FN7YPNC
NuWave 12 Inch 'Everyday Pan' with Lid Stainless Steel Induction Ready	3	6	B00QYAW3IM
"""E765SH Ultimate Hard Anodized Scratch Resistant Titanium Nonstick Thermo-Spot Heat Indicator Anti-Warp Base Dishwasher Safe Oven Safe PFOA Free Cookware Set, 17-Piece, Gray"""	3	13	B00TQJWF1I
"""C921SE Initiatives Nonstick Ceramic Coating PTFE PFOA and Cadmium Free Scratch Resistant Dishwasher Safe Oven Safe Cookware Set, 14-Piece, Black"""	3	6	B00IWSQQIW
"""P25107 Stainless Steel Dishwasher Safe PTFE PFOA and Cadmium Free 10 / 15-PSI Pressure Cooker Cookware, 6.3-Quart, Silver"""	3	12	B00EXLOW38
"""P45007 Clipso Stainless Steel 12-PSI Pressure Cooker Cookware, 6.3-Quart, Silver"""	3	3	B00K0JY7XW
"""T-fal P25142 Stainless Steel Dishwasher Safe PTFE PFOA and Cadmium Free 10 / 15-PSI Pressure Cooker Cookware, 4-Quart, Silver"""	3	1	B0119I1US2
"""T-fal P2614634 Secure Aluminum Initiatives 12-PSI Pressure Cooker Cookware, 6-Quart, Siver"""	3	1	B00WM3J1NK
"""T-fal 92160TA Secure Aluminum 12 PSI Pressure Cooker Cookware, 6.3-Quart, Silver"""	3	7	B00JG3G8VM
