Makeup_Name	Category_ID	Brand_ID	Feature_ID	Color_ID	ASIN
Neutrogena Hydrating Eye Makeup Remover Lotion, 3 oz.	2	60	1	57	B00KGO8XY0
Younique Moodstruck 3D Fiber Lashes Plus Fortified with Uplift Plus Enrichi EN Uplift	2	51	5	7	B012GQ1NNI
3D Fiber Lash Mascara Set – Improved Formula for 300X Length and Volume, Waterproof, Hypoallergenic – with FREE Mascara Application Guide	2	51	7	17	B01CQBX0XY
Morphe Pro 35 Color Eyeshadow Makeup Palette - Warm (Highly Pigmented) 35W	2	93	1	21	B012H7ON1U
Maybelline New York The Blushed Nudes	2	175	5	9	B00UKP1M2K
ACEVIVI Professional 78 Colors Eyeshadow Makeup Cosmetic Palette Eye Shadow Set with Blush, Highlighters and Liner Shades (FBA)	2	218	2	71	B00SNXTF7K
3D Fiber Lash Mascara by Mia Adora - Premium Formula with Highest Quality Natural & Non-Toxic Hypoallergenic Ingredients - A Makeup Bag Essential - FREE Bonus Eyelash ebook	2	165	2	28	B00NBCD7MW
Bold Lash Effect Mascara- Best for Length & Volume & Sensitive Eyes- Water Resistant & Smudge Proof - Clump Free - NO Parabens or SLS! (Black)	2	120	10	7	B01557EHW4
Grandelash GrandeLASH-MD (3 month supply) 2 Milliliter	2	240	1	15	B00325D0WK
3D Fiber Lash Mascara, Vixen Lash Defining Mascara by Lash Factory	2	69	1	47	B00KISWGSS
stila Stay All Day Waterproof Liquid Eye Liner	2	67	2	8	B0031NNE56
stila Huge Extreme Lash Mascara	2	142	1	62	B011J6HJKM
stila Eye Shadow Compact	2	155	5	62	B004VQTUVE
stila Baked Eye Shadow Trio	2	210	11	75	B0024LSMNU
stila Precision Glide Brow Pencil	2	109	10	17	B00TT6YK34
DHC Liquid Eyeliner EX	2	15	6	6	B004BRU0E4
Big Smokey Eyes Shimmer Eye Shadow Stick Jumbo Eye Shadow Eye Liner Pencil 8 Colors	2	189	5	51	B007S2IA3W
L.A. Premium 12 Bold Color Lash Mascara Set of 12 Shades	2	193	3	72	B00P7F61AQ
Jumbo Eye Shadow Eye Liner Pencil 24 Colors with Free 2 in 1 Pencil	2	119	9	19	B005JTSS6K
