MovieTitle	Genre_ID	Studio_ID	Format_ID	Director_ID
The Last Emperor	8	10	4	329
Spectre	1	39	4	398
105	1	1	9	447
Mission: Impossible - Rogue Nation	1	8	4	363
Notting Hill	14	30	4	335
The Boondock Saints	1	5	10	62
Zootopia	2	43	1	451
Tom and Jerry	2	15	2	471
A Goofy Movie	2	43	8	8
Girl	14	28	6	482
The Three Muskeeters	2	43	1	117
Kabhi Khushi Kabhi Gam	3	45	10	204
Dilwale Dulhania Le Jayenge	3	46	8	234
Veer Zara	3	46	6	282
Tanu Weds Manu	3	44	2	189
Mohabbatein	3	46	1	108
Bad Moms	4	34	1	276
Hocus Pocus	4	34	4	38
Boy A	14	47	9	352
Happy Gilmore	4	31	3	273
Austin Powers:The Spy Who Shagged Me	4	15	7	15
Carol	5	47	2	357
Concussion	5	48	1	125
Citizenfour	6	48	8	83
To Joey With Love	6	34	3	127
21st Century Warship	6	4	11	126
No Place On Earth	6	16	4	133
Before the Flood	6	33	10	402
Good Girls Revolt	7	25	6	215
Eye in the Sky	7	21	8	454
Love and Friendship	7	25	6	358
Pride and Predudice	7	30	7	257
Finding Dory	8	36	5	415
The Spiderwick Chronicles	8	8	2	8
Odd Squad	8	3	10	406
Beethoven	8	31	7	340
Tarzan	8	1	11	86
Chocolat	14	1	5	398
Ondine	9	16	9	481
Meet Joe Black	9	31	9	409
Black Death	9	23	9	432
German Angst	9	13	11	360
Captive	10	8	10	432
Christmas Lodge	10	24	5	148
Risen	10	10	1	28
Angel in the House	10	18	6	301
Where Hope Grows	10	11	5	330
The Neon Demon	11	25	10	471
The Gift	11	8	8	305
The Witch	11	6	7	54
Misery	11	15	1	183
The Addams Family	11	8	5	215
Driving in my Car	12	29	11	236
Itsy Bitsy Spider	12	26	11	58
Five Little Monkeys	12	26	8	417
Ryan Bingham Live	12	29	11	320
Katy Perry	12	14	4	25
Complete Unknown	13	25	10	55
Heist	13	1	2	178
Across the Line	13	28	6	282
Fletch	13	31	11	206
Goldeneye	13	39	8	72
The Captive	13	6	1	95
Across the Sea	14	17	1	132
Up in the Air	14	27	11	500
A Christmas Kiss	14	24	10	73
The American President	14	15	11	345
Still Mine	14	49	8	434
Not Since You	14	50	3	291
The Kicks- Season 1	15	25	3	274
Hitting the Apex	15	51	10	360
Eight Men Out	15	39	4	102
The Fourth Phase	15	52	7	186
When They Were Young	15	53	4	291
Yoga for Beginners	16	54	3	487
Jillian Michaels: Yoga Meltdown	16	1	3	303
Shazzy Fitness: In the Beginning	16	55	7	88
Fitness Kickboxing Workout	16	40	2	203
21 Day Transformation: Season 1	16	40	5	277
Yoga For All	16	55	2	414
The Expandables 3	17	1	6	76
William Kelly's War	17	28	8	466
Thunderball	17	39	2	163
The Wedding Pact	14	64	5	500
The Hunt for Red October	17	8	8	237
The Dogs of War	17	39	8	324
Quigley Down Under	18	39	2	443
Bone Tomahawk	18	56	2	260
Black Field	18	56	10	137
The Revenant	18	57	2	295
Common Outlaws	18	58	8	444
Breakheart Pass	18	39	2	449
Earth in 1000 Years	19	4	2	52
The Stone Age Puzzle	19	59	1	92
Obvious Child	14	6	2	113
The Rosetta Mission	19	59	3	101
No Man's Island	20	17	10	351
The Dark House	20	60	4	51
Mystery of the Fairy Circles	20	59	1	373
Priceless	20	49	7	4
Annie	21	10	8	18
Jonah: A VeggieTales Movie	21	1	1	418
Cinderella	21	49	10	398
Tangled	21	43	3	213
Aladdin	21	43	9	185
Frozen Fever	21	2	6	368
Angelina Ballerina: Ballet Dreams	21	1	1	502
Love & Mercy	21	1	2	243
Rio 2	21	57	7	288
The Sound of Music	21	5	7	362
Ma Ma	20	61	1	17
Coriolanus	20	47	5	203
13 Assassins (English Subtitled)	20	16	1	369
Road to Your Heart	20	55	9	70
A Royal Affair (English Subtitled)	20	16	10	423
Goodnight Mommy	20	47	8	460
Equals	23	6	1	128
Star Trek Beyond	23	42	2	263
Interstellar	23	42	9	268
