Pet_Supplies_Name	ASIN	Pet_Type_ID	Category_ID	Supplier_ID	Model_Number
Perky-Pet Looking Glass Hummingbird Feeder	B00006SIJ7	4	6	1	81101
Wellness Natural Wet Canned Cat Food, Pack of 12	B000084EZ4	2	4	1	8811
MarineLand Rite-Size Cartridge Z, 3-Pack	B0002565TI	1	6	1	PA013003
Zoo Med ReptiSafe Water Conditioner, 8.75 oz	B0002568SG	6	2	1	WC8
Zoo Med Turtle Dock for 10 Gallon Tanks, Small	B000256ELM	6	5	21	TD10
Tetra 16106 TetraMin Flakes, 7.06-Ounce	B00025K0TY	3	1	1	16106
TetraColor Tropical Flakes with Natural Color Enhancer, 7.06-Ounce	B00025K0VC	3	1	1	16162
Doskocil PETMATE 26333 Looney Loops Cat Toy	B00025YVPI	2	13	1	26333
API VACATION PYRAMID FISH FEEDER 14-Day 1.2-Ounce Automatic Fish Feeder	B00025Z66G	3	6	1	71A
HARTZ Wardley Shrimp Pellet Fish Food for Bottom and Algae Eaters - 9oz	B00026Z444	3	1	1	4332400095
Halo Liv-A-Littles Grain Free Natural Dog Treats & Cat Treats, Freeze Dried Raw Chicken Breast, 2.2-Ounce	B00027CL5S	2	4	1	90010
Grannick's Bitter Apple for Dogs Spray Bottle, 16 Ounces	B00028ZMEO	1	2	1	1116AT
Exo Terra Water Dish, Small	B0002AR4AW	6	6	21	PT2801
Safari Pet Products SAFARI Dog De-Matting Comb, One Size, Dog Comb, Dematting Tool for Dogs	B0002ARR2W	1	3	1	W6116
Van Ness 2 Cup Capacity Pet Food Scoop (Single)	B0002ASCQC	2	6	21	FS2
Bene-Bac® Bird & Reptile Powder, 4.5oz	B0002ASS3E	4	2	1	99565
Living World Cuttlebone, Large, Twin Pack	B0002DH2YW	4	2	1	82178
Cat Dancer Cat Charmer Wand Teaser Toy	B0002DHV16	2	13	1	301B
Tetra 26160 Whisper Bio-Bag Cartridge	B0002DHZKS	3	6	1	26160
See Size Options	B0002DI16A	6	1	1	29254
Tetra 29254 ReptoMin Floating Food Sticks	B0002DK03W	6	2	1	342
Kaytee Timothy Hay, 96-oz bag	B0002DK8P2	7	1	1	100032116
Kaytee Koi's Choice Premium Fish Food, 10-lb bag	B0002DK91U	3	1	1	100033590
Fluker's 1.2-Ounce Freeze Dried Crickets	B0002DRJDG	6	1	1	72025
Earthbath Oatmeal & Aloe Shampoo, Vanilla & Almond, 16 Ounce	B0002IEYIE	1	3	1	THREP0034
Replacement Pan for 42 Long MidWest Dog Crate	B0002NNWDW	1	5	1	9PAN
Hill's Science Diet Senior Wet Cat Food, Adult 7+ Savory Chicken Entrée Minced Canned Cat Food, 5.5 oz, 24 Pack	B0002TJAZU	2	1	1	4541
Redbarn Filled Bone Peanut Butter, Small 3-inch	B000633Y40	1	4	1	413003
RedBarn Chicken Filled Bone (5'-6' bone)	B000633ZDK	1	4	1	7.85E+11
Andis Carbon-Infused Steel UltraEdge Dog Clipper Blade, Size-10, 1/16-Inch Cut Length (64071)	B00063MRLG	1	3	1	64071
Kaytee Igloo Hideout, Large	B00068K132	7	13	1	100079168
Woodlink MINIMAG2 Mini Magnum Nyjer Feeder	B00068U4VG	4	6	1	MIMAG2
Mrs Pastures Horse Cookies 32 Ounce	B0006B404K	5	1	1	FN91
Jolly Pets Amazing Graze, Teal	B0006G56UM	5	13	1	591406367
Fluker's 8-Ounce Cricket Quencher Calcium Fortified	B0006G5B0C	6	2	1	71205
Nature Zone Bites for Bearded Dragons, Soft Moist Food, 24-Ounce	B0006L12CI	6	1	1	831020
Kaytee Chewbular Play Tube, Large	B0006L12UA	7	13	1	100079204
Cat Dancer 101 Cat Dancer Interactive Cat Toy	B0006N9I68	2	13	1	93419100010
PetSafe ScatMat Indoor Pet Training Mat for Dogs and Cats, Large Size, 48 X 20 inch, Pet Proof Your Home, Electronic Training Mat	B0007NTBJ6	1	12	1	SKMC411
Dr. Elsey's Cat Ultra Premium Clumping Cat Litter, 40 pound bag	B0009X29WK	1	2	2	460U
Zoo Med Laboratories SZMFD20 Repti-Rock Food Dish, Small	B0009YD68K	6	6	21	976421
Zoo Med Reptile Rock Food Dish, Medium	B0009YHRLW	6	6	21	FD30
SMOKEHOUSE TREATS Smokehouse 100-Percent Natural Pig Ears Dog Treats, 6-Pack	B0009YJ47W	1	4	1	50200
Fluker's Digital Thermometer/Hygrometer for Reptiles	B0009YJWW4	6	2	1	34134
Zoo Med Reptile Ramp Bowl, X-Large, Assorted Colors	B000A1BDP0	6	6	21	RRB12
Mane 'n Tail Equine Strength Pro- Tect 32 ounce	B000A6ZLN0	5	3	21	544606
