ID	Street_type
1	Mill
2	Key
3	Street
4	Prairie
5	Brook
6	Rapid
7	Ranch
8	Mall
9	Wall
10	Highway
11	Garden
12	Oval
13	Rapid
14	Pike
15	Valley
16	Course
17	Club
18	Cliff
19	Cape
20	Tunnel
21	Road
22	Fall
23	Terrace
24	Glen
25	Divide
26	Vista
27	Junction
28	Dale
29	Rue
30	Well
31	Arcade
32	Highway
33	Mountain
34	Landing
35	Overpass
36	Crest
37	Route
38	Trace
39	Cliff
40	Center
41	Viaduct
42	Land
43	Summit
44	Flat
45	Mount
46	Manor
47	Throughway
48	Place
49	Trafficway
50	Fort
