Clothes_Name	Brand_ID	Color_ID	ClothingType_ID	ASIN
Wrangler Authentics Mens Classic Five-Pocket Jean Short	126	25	7	ZM2S0
adidas Women's Superlite Super No Show Socks (3-Pack)	109	3	3	6XYA70YJB7Z
Joe's Jeans Women's Blair Trouser Gaucho Jean in Isla	208	11	9	RRDILA5786
French Connection Women's Core Cashmere-Blend Knit Tunic	161	23	9	78GCE
Women's Aribella Chunky Sweater	114	8	5	F16KT55
Columbia Men's Terminal Tackle Long Sleeve Shirt	139	5	7	FM6094
Anne Klein Women's Triple Pleat Neck Knit Top	113	1	12	10591518
Anne Klein Women's Bird Print Sweater Tee	129	14	13	10610894
Nine West Women's Slvless Shirtail Shift Dress	131	12	10	10615910
Nine West Women's Bi Stretch Skinny Pant	172	17	4	10534614-169
Nine West Women's Sleeveless Drop Waist Dress	168	4	11	10600122
Tommy Hilfiger Boys' Short Sleeve Ivy Polo Shirt	128	6	7	T381010
Levi's Men's 501 Original-Fit Jean	130	14	15	501
French Connection Women's Otis Turtleneck Sweater	29	8	4	78EEL
Belle Badgley Mischka Women's Holly Wool Boucle with Faux Fox Fur Collar	155	23	5	62888
Women's Chiffon Blouses open-shoulder ruffle Shirts Green Mango Summer Tops	155	20	12	78768
Lacoste Women's Long Sleeve Stretch Pique Polo	118	18	7	PF1775-51
Mango Women's Cotton Modal-Blend T-Shirt	89	20	14	6766325
DKNY Women's Fur Hooded Anorak w/ Orange Contrast Lining 82441-Y5	25	18	10	65775757
Shoshanna Women's Pastel Paisley Print Lisa Dress	116	24	7	1018390
Lacoste Women's Short-Sleeve Cotton Jersey V-Neck T-Shirt	46	21	15	TF7880-51
Women's Mini Gingham Slim Fit Pant	191	2	16	HF5615-51
Women's 100% Cashmere Slouchy Turtleneck Sweater	49	20	11	AMZS5
Women's Floral Print Cut Out Shoulder Short Sleeve T Shirt Blouse	170	14	16	D-61215-A
Women's High Waist Flare Skirt 25 Inch	36	8	9	s15e6925
Women's Striped Trousers	49	9	14	B898099
Women's Switchback II Jacket	185	14	14	1494881
Women's Classic Trucker Jacket	2	16	6	70240-0045
Women's Ottoman Cocoon Tunic Top	121	20	4	RYY1X361
Women's 512 Skinny Jean	208	20	13	55311-0011
Women's Logo Zip up Sweatshirt	76	20	8	6XYMAWYJC3Z1200
